,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R14.0,11.379154165845334,9.962571462688055,9.212011556201839,8.551015153399867,8.058726095429847,7.728309804858996,7.274170793752732,6.872909264620856,6.6297702887231145,6.39943516612275,6.303983647615029,6.2464731627943895,5.937803237611309,5.458950495960812,5.0948880648110695,4.894012640183622,4.824744367988359,4.764641820609481,4.700669275472487,4.656251270056469,4.567665822955794,4.463941309496079,4.361823476884463,4.321979170893793,4.286440045202179,4.258683897330588,4.2734785609760335
R15.0,11.82997362255275,10.359434990616617,9.583260807130355,8.895467634564886,8.378713550216528,8.01844969011908,7.528934432159372,7.110655417286026,6.847046459274603,6.602590631162306,6.503859678579226,6.442973362757757,6.12333987728954,5.626045899207297,5.252009956942825,5.045508966028041,4.9736664308647285,4.907527086514223,4.835797930968731,4.787455780656842,4.694610739386253,4.588182801433705,4.482173187252801,4.441345903648883,4.403973680622276,4.376697375533663,4.424516320602713
R16.0,12.269011037584741,10.76057605768341,9.949775198161301,9.230189019198335,8.67871371948859,8.299145457762187,7.783792970250093,7.345402388841835,7.0605611433210935,6.803150459355253,6.696783488763291,6.644587864068037,6.307248834584494,5.793403360035347,5.405948187351086,5.18938128487828,5.115488237361284,5.044726428353456,4.96657677268704,4.91485002085291,4.819444977120696,4.7082636145228385,4.603250664240042,4.559046616361115,4.51717047328283,4.490500036231891,4.500275337568024
R17.0,12.697229177145488,11.134961142815861,10.303228672305956,9.556255701903705,8.973912698269405,8.571202245776163,8.024190398267248,7.565715095575642,7.268424233519424,6.998767889204645,6.900767155288408,6.8260507454985495,6.488147844418977,5.95792225900397,5.550874875098975,5.332560144226907,5.256184609789635,5.17924565172919,5.097474508753741,5.040553897970237,4.940542656800925,4.825272532034635,4.715437292174087,4.670604106938602,4.6272776078417035,4.600201151307019,4.61076709691013
R18.0,13.126388726396856,11.513721400856593,10.64938502734471,9.8715419035336,9.268472916052973,8.832810449108084,8.256094338640407,7.782952385777001,7.472354017978626,7.198565408423919,7.074444873197082,7.014152915691216,6.663222129529798,6.115901359885766,5.700386389878752,5.475055869325949,5.391424239746126,5.312320565026015,5.221554292635118,5.161658116699631,5.059701960115845,4.940220720855766,4.826287192563932,4.7776900363857155,4.7352732325744356,4.705364854017988,4.7169978104941785
R19.0,13.532278172581627,11.880259578579498,10.98821015527281,10.179761920006285,9.53922128371047,9.094321999689289,8.487281773297614,7.993692969080829,7.6699801589476335,7.381530071273618,7.256703561736027,7.192588032783157,6.840293184913849,6.272531546881501,5.8412446762954575,5.61106648853198,5.521555349500625,5.436052390693101,5.3511135656437245,5.280241248102644,5.2812122643725,5.052787643768674,4.934577989883227,4.884027367723617,4.843038988268006,4.810671635201977,4.824889792319468
R20.0,13.936037364519109,12.241581649523877,11.32036954806162,10.482781891670825,9.811721344933476,9.336306002648074,8.704347490001123,8.203787591584774,7.864874191197077,7.562115485736895,7.464158450622104,7.372245095622823,7.006857182499351,6.427323274992885,5.9821723081915765,5.7420515342066,5.651993727987545,5.560434220941628,5.464137181339142,5.394886480301527,5.358106758389672,5.15989061399545,5.040891295634115,4.990004955126116,4.952689871362701,4.912594988482973,4.920080593748148
R21.0,14.326581091489862,12.59839294800588,11.64750479420626,10.778641351963948,10.079754909679101,9.5796062320861,8.920164413693634,8.402462758636954,8.055218468315836,7.741578774981793,7.608168743183473,7.542393242871299,7.1711021575738325,6.620841516753737,6.126393834786596,5.872337313866889,5.778303125318232,5.681223920212089,5.584766521491053,5.507497869498506,5.396123067168505,5.26913795444913,5.143076182500645,5.090069619573164,5.041715907727401,5.009111701859979,5.017523491036417
R22.0,14.714100293718566,12.946344052413647,11.970274133869477,11.069739794264201,10.341428903094368,9.818184840130023,9.12730201845578,8.596782077458723,8.241887923812556,7.9178177080736045,7.7797752394416815,7.708930170946278,7.3405023016299635,6.726393332939411,6.251255660665507,5.997965901958313,5.900175870602936,5.798020708465607,5.690893737263227,5.616858076378003,5.502089914956878,5.366646974105432,5.240723046049954,5.186938366273919,5.137363871009185,5.104693497477937,5.111683339791663
R23.0,15.101447964756012,13.29351747917761,12.289102894860983,11.376449101540764,10.603308984827638,10.053219267130178,9.330267432714628,8.79248734622983,8.424950702235488,8.089325190636671,7.945476520077456,7.876047446166135,7.489976443951439,6.867795186820705,6.386734386711243,6.126603203861457,6.017966653517119,5.911986300752989,5.800448681891419,5.723150226458733,5.606736723644599,5.468676896934517,5.340890615647007,5.281349697152661,5.231097001303516,5.195821209042002,5.2022134500785295
R24.0,15.481599141098808,13.628851795658829,12.616594669111969,11.644703907235186,10.858188634461612,10.289837027553823,9.538541493701393,8.981675049925094,8.60414340352926,8.259014012814522,8.1091345420361,8.035721135635058,7.7068504687696855,7.008123448869261,6.512462758766329,6.245223281331677,6.133678519561583,6.045583904646261,5.906570856546402,5.825437613829489,5.70665783645109,5.565012582113383,5.433126280543412,5.373329124481329,5.323469044400291,5.285056043480109,5.293627781173117
R25.0,15.845396696763933,13.964238757645507,12.911942694151303,11.966610328673065,11.112597237193867,10.515658350980802,9.738682555164958,9.164812670677026,8.780255638002775,8.423469798699474,8.267547901607024,8.219346123688775,7.79739977973963,7.151167759995917,6.639584297488771,6.362525511341423,6.244021419752672,6.20294855267262,6.010849576456749,5.934082873675193,5.8068983183006715,5.657679641946835,5.522412200609292,5.4625289746687145,5.410042054223725,5.53822064292414,5.375416625704771
R26.0,16.210677639745207,14.293370233063925,13.217574463530077,12.206466643606975,11.365810416033428,10.743059791649326,9.931346440575691,9.34796964412126,8.952896878065125,8.586128110255348,8.424179936112115,8.353496208094086,7.9434056271509395,7.279643583793677,6.7606031251969,6.479380776301596,6.357337002400703,6.317828694987007,6.108574076160346,6.02357601027308,5.902232750734271,5.750612009631771,5.611623940454869,5.550801540152455,5.492947582022351,5.4551038167757415,5.457363411055433
R27.0,16.5674902195449,14.617434587108567,13.519543151017743,12.482256896692732,11.61114902834526,10.968152232002804,10.127022405451982,9.53086295373813,9.123054243044791,8.744386165518755,8.576046911956006,8.495412512303176,8.089304532966047,7.411911286320811,6.878812386447619,6.58798357249472,6.458691449771885,6.33252126373444,6.205978135032922,6.1180853944773785,5.992958327425912,5.839311487852498,5.698241364294878,5.63348202071151,5.575074112573423,5.535332995383836,5.537843592699893
R28.0,17.001746768279073,14.941222344953953,13.81757519643369,12.756667337848098,11.858084140089845,11.19106202070077,10.319839427442924,9.716552743809942,9.29781933486533,8.900661737408072,8.726291856689315,8.64979249254804,8.227572350188908,7.54354306673749,6.995815027322594,6.707666550942758,6.562665465015183,6.429439936418371,6.301160354325255,6.209780166122341,6.084050636734855,5.92574078364186,5.781658992023494,5.7127366175195045,5.655488157701102,5.612147848089668,5.6139824879732085
R29.0,17.271546023742893,15.258731937167246,14.11264238182035,13.026559694882092,12.100309175920193,11.41265917775271,10.512430570375853,9.887630830680955,9.454675203027474,9.054473654161063,8.872024908173033,8.795130573361215,8.369520693633374,7.669772419996899,7.111684310722742,6.805873781854095,6.662383591066341,6.52461475029348,6.390340084824405,6.2990379301184625,6.170261990461808,6.010166046551298,5.860296801794007,5.791299286772819,5.732134619281702,5.6885352878635835,5.688053143659307
R30.0,17.61568882776313,15.57273689264063,14.404758005233422,13.292924574840962,12.34259502455556,11.630347570924027,10.700773119438965,10.060743660505068,9.619906383672005,9.205023535183596,9.016450504471273,8.926940568236379,8.700207819078424,7.79668462548371,7.221708189576399,6.91309574900505,6.757369779950178,6.615553885824356,6.47909852138514,6.386789000071602,6.254877174113393,6.091400152772981,5.940622697027887,5.8693710243476325,5.807252773157373,5.762288203753655,5.7591021021252065
R31.0,17.955262980509975,15.89030410410217,14.697923622070586,13.562165740426163,12.583180113038011,11.84804414837567,10.890132516263028,10.239111406468137,9.781782317443948,9.354544276993213,9.156973419432461,9.060884915701855,8.631731730194566,7.912612602063593,7.332134773532856,7.008311559632945,6.938772414583479,6.7049065927907385,6.588018704193969,6.4703101103661105,6.344192117647131,6.170601085373152,6.017984774079748,5.943507537956136,5.878358601746167,5.833125270529771,5.828905292015623
