,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R15.0,12.074822157735092,11.299818775402333,10.52402731228537,9.85358392332003,9.27010589409225,8.78740452070921,7.917236243121046,7.100114413020284,6.300789904606244,5.791822111401908,5.543413952765533,5.389207287718418,5.333291401015623,5.217205902062635,5.066225434903829,4.924439211774139,4.80413148835461,4.737906362381634,4.682517024903898,4.619680691172071,4.528107256759104,4.411432254874457,4.292983535731755,4.269881176494152,4.223179212494443,4.187660434880627,4.127781090852968
R16.0,12.509783686355052,11.705704129116851,10.909534347447645,10.209761336334026,9.60357318787474,9.103010564831438,8.200631702373396,7.355187878749138,6.52518695987714,5.991601316461679,5.727830981207687,5.565690484270348,5.503974369283567,5.381709989132688,5.220867104311267,5.06748418542665,4.938101747069086,4.865952502249749,4.808975223888636,4.743563258660558,4.649397703097258,4.528364043847617,4.40500732273004,4.379916342047901,4.33099545505899,4.295000666001911,4.235917289053111
R17.0,12.93272195785573,12.099275561975144,11.283166520485398,10.55551443481901,9.925737750709049,9.407021770597767,8.473582449960439,7.602889614650177,6.743160975346418,6.186297710973957,5.90900511243845,5.737741109034145,5.670865803425105,5.541119569612825,5.371834866216865,5.20752875813353,5.070118884485768,4.9914359674344,4.93138506945578,4.864718112037274,4.767028414091875,4.64155925234887,4.514856920692395,4.485874581843927,4.435977396790154,4.398258813952637,4.342056205897965
R18.0,13.343282916003774,12.481383105200331,11.645440051106457,10.889682235327689,10.235897682279544,9.699516601012895,8.738653640410178,7.842772649402868,6.954956867001206,6.375944173079727,6.084895387633363,5.906231003786469,5.8354043963434,5.699041164067454,5.518924276054207,5.344253460784209,5.198193000295875,5.114225033912335,5.050449929528567,4.982311788318173,4.881823843715291,4.752322527240384,4.62104747576026,4.589309133651858,4.538492997143912,4.499598451526312,4.445155622889507
R19.0,13.744167740432747,12.85357785140824,11.998257149487753,11.215043020324476,10.538781344096886,9.983666020838514,8.994489637684147,8.076028773480248,7.161035788837962,6.560847106717423,6.257131970517536,6.070005294483542,5.995202584245362,5.852139297434601,5.663091420841177,5.4773929850075564,5.321793363094895,5.232069218198678,5.166573820050402,5.096500210732765,4.993513464970706,4.859980304748975,4.72416730652984,4.690844258447156,4.637413874473854,4.598800486669813,4.545855298015269
R20.0,14.135259255720564,13.216438483909254,12.342014207708246,11.532473183264743,10.833768565316795,10.259871270279753,9.241795625154433,8.300643753932391,7.36167089404727,6.741586924817119,6.424997650788109,6.230836496912552,6.151858907005253,6.001613988907063,5.803789389794813,5.608111809356965,5.443513343301609,5.346800344168927,5.278744622637657,5.207718475252457,5.101705553261215,4.964946707331801,4.825510365035933,4.788686460004039,4.733613082028576,4.695066700508174,4.644391326187348
R21.0,14.517286043848522,13.572285243248436,12.67550801378647,11.84398089574334,11.12122611618098,10.52981370264142,9.482206764331746,8.519950262229427,7.557396772976623,6.917111265604095,6.589434139751256,6.389031451911945,6.304714933926098,6.148328933826079,5.941725753428288,5.735019491770943,5.561231269083936,5.459252076240063,5.388104635976918,5.315631281258421,5.207291776211923,5.066763985138131,4.924557760229714,4.88413596931777,4.827959755817464,4.788273388545349,4.739129588588432
R22.0,14.8906702344491,13.91958808559971,13.003592364140648,12.149881757349842,11.404965006675576,10.793884631197468,9.717187619107383,8.73280228747778,7.747313980632788,7.088593966790585,6.749925188383009,6.541725867918037,6.454468291668446,6.2902448309262535,6.075192996011884,5.858002936566885,5.675069192475302,5.568498524594503,5.494171111800009,5.420035486392746,5.309878208406873,5.165012854147338,5.020190795602282,4.97694635011862,4.919085136520611,4.87896987360491,4.8321042494752575
R23.0,15.256705583355036,14.261981638526844,13.323296876097722,12.450479692127114,11.68430586839785,11.054041827652672,9.945402152709796,8.939699341587211,7.932034630918769,7.256554629116935,6.906614085160349,6.691302642416485,6.599954648115025,6.429429498741502,6.2055052449907615,5.978129044507188,5.786476344681753,5.673767850792327,5.597223647473967,5.5217219667071245,5.409070425438837,5.261793611546855,5.112642970472178,5.066542899867201,5.008098404507891,4.96772864815389,4.921903389517352
R24.0,15.613934632688103,14.59570230409044,13.63814417397156,12.744908400709338,11.957935569753433,11.310058669398476,10.170436881254872,9.142366831801162,8.112365022905795,7.4194495161936445,7.058937846392295,6.838616388618114,6.742029514516732,6.565377501054219,6.333138037913514,6.0944436554895045,5.894408725908641,5.775436025481824,5.697217764513425,5.620599132921342,5.505261116400858,5.355766247389568,5.2033537778420405,5.15403159340144,5.094254103601618,5.053556664077083,5.008420033977512
