,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R42.0,,,,12.257910724725804,11.021322723293434,10.690296479324706,10.501378517151508,9.999758447796118,9.184259113512914,8.491452764017353,8.067436327182598,7.816937815495393,7.61158918585807,7.4541680614249906,7.34927865185896,7.204343159233998,7.006073956081614,6.816187543060279,6.72274636560774,6.580452840976964
R43.0,,,,12.453516914436053,11.171523874288466,10.81642463945186,10.614196339807163,10.104781832653185,9.280761255334006,8.5780853549171,8.144516012777485,7.884699671188876,7.674169172207335,7.515370434537976,7.410807133310884,7.2650892005511984,7.0641043615391,6.871171962454098,6.776438986795062,6.631338430301977
R44.0,,,,12.654297432797728,11.326910246013394,10.946860596105411,10.72575734950179,10.208509863064636,9.376388919515248,8.663876889450163,8.220440734122807,7.950995618710712,7.735624474338468,7.575317047438528,,7.324595070570211,7.120960971950101,6.924954089957984,6.82901142153261,6.680884745999823
R45.0,,,,12.859698458845688,11.487288110444684,11.081705921024987,10.835882440250415,10.3109460451265,9.47081539962615,8.74876938706365,8.295332755213682,8.016193176654763,7.7960359773176195,7.634400652929512,,,7.176652966000144,6.977543674069992,6.880409956185202,6.729282376252291
R46.0,,,,,11.652720362634645,11.221181160124914,10.945548446940442,10.411972279460564,9.564277442082284,8.832879245128746,8.369264097068193,8.080534680964425,7.8554348359899615,7.692402273777502,,,7.231205038484948,7.028963947352741,6.930638569553778,6.776481717742199
R47.0,,,,,11.82326839689135,11.365574132659845,11.058473846101045,10.511629557842614,9.656686564367387,8.916162983703197,8.442554666224266,8.143957346630994,7.913938978199463,7.749452493189986,,,7.284629441861356,7.079235270137556,6.979711859714971,6.822562531693265
R48.0,,,,,11.998880060668638,11.514587316863544,11.17600737742788,10.610093470491975,9.748135718773051,8.99876230590312,8.515051283994023,8.206567613344578,7.971538855533343,7.805563841003268,,,7.336942343603859,7.128378890145116,7.0276655126072125,
R49.0,,,,,12.179659696381568,11.668627719282735,11.298121388231348,10.707261683137029,9.838620365202278,9.080677659360957,8.586785990517864,8.268395897177214,8.028270792118214,,,,7.388166100544575,7.176422797039953,7.074568532198693,
R50.0,,,,,,11.82726473199103,11.42476243070287,10.803061998311197,9.92806464924556,9.161906505407565,8.65783189665731,8.329177581803481,8.084115514243184,,,,7.438299367915922,7.223395734932797,7.120410527731018,
R51.0,,,,,,11.9910665569243,11.556200426212786,10.8984664520418,10.016563451583986,9.242356404068593,8.728137786276662,8.38964531714703,8.13909311703755,,,,7.48735889938304,7.269322270189825,7.165249811390323,
R52.0,,,,,,,11.691954855245754,10.997245498948136,10.104084921643198,9.321984890421533,8.79763653464563,8.44881372078161,8.193247187512466,,,,7.535404331183905,7.314217180452019,7.209120203666488,
R53.0,,,,,,,11.83250908046537,11.10052117976006,10.190634781502869,9.400913916633735,8.866459222601044,8.507652178327966,8.246521888646953,,,,7.582449127353209,7.35811491350775,7.252006812362145,
R54.0,,,,,,,11.97754623995322,11.20858778136294,10.276235668148498,9.479144157288664,8.934579032626303,8.565220420794986,8.29896824988056,,,,7.62846999052465,7.401072358061381,7.29399871264358,
R55.0,,,,,,,12.12725973984191,11.321038280439542,10.360957402939391,9.556677741202307,9.00185025145598,8.622364221522076,8.350586057298912,,,,7.673534689716513,7.44313747351392,7.33510355692572,
R56.0,,,,,,,,11.438333706056518,10.444760933010528,9.633465483625743,9.068456190416864,8.678505258627904,8.401386515738134,,,,7.717657345036551,7.48434916099528,7.375367264991059,
R57.0,,,,,,,,11.560086251325032,10.527533259237238,9.709360212215476,9.134381102087984,8.73395894675858,8.451377034725958,,,,,7.524744418012553,7.414814606152918,
R58.0,,,,,,,,11.6865726580236,10.609884810434432,9.784546170311792,9.199460337246808,8.788692360582807,,,,,,7.564362359220267,7.457483904491626,
R59.0,,,,,,,,11.81773612971388,10.69532166023757,9.859007449009408,9.263864040577117,8.842680602558321,,,,,,7.603246995036569,,
R60.0,,,,,,,,,10.78579560565706,9.932740797014777,9.327574430273176,8.895841201567869,,,,,,7.641460758044811,,
