,CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94
R21.0,14.408097394051143,12.683008132842062,11.732331525217726,10.865480204143473,10.165321341770115,9.664357521583062,9.008608828820574,8.4923341551572,8.14496356530346,7.833300114666715,7.701758114126466,7.6352505811609035,7.26607901270874,6.671678311238686,6.215463256382042,5.969591113829555,5.873627595221399,5.7773910805327136,5.6760682431953065,5.604642503823571,5.493687695549528,5.36274050393165,5.240178751394138,5.186640325992652,5.138408478021467,5.1054963249049825,5.113018455377748
R22.0,14.797635976114549,13.033114997916737,12.055136781060018,11.158777620118109,10.428865474456483,9.903955800359554,9.218319545922217,8.689516150309231,8.331702105459861,8.00935021049711,7.873025963217723,7.803987556515246,7.427834242386082,6.819175277752221,6.349736116093588,6.096817857493275,5.995968077102411,5.894193048657002,5.788635527418677,5.713864424354092,5.600469305902388,5.465340163754982,5.339966905556838,5.284325919402365,5.234437769791637,5.200294252443314,5.207104027472434
R23.0,15.181452295835676,13.378354393172309,12.373348341266684,11.447909421459958,10.689120731963595,10.138947077482126,9.42316167376278,8.882202391179765,8.514773959835665,8.181708828282309,8.039173513074235,7.968830959258224,7.586041982066525,6.963085938681037,6.4810754089049905,6.220328504097134,6.114467232853082,6.008052677741615,5.8977457438401775,5.820091779822523,5.70431289753278,5.565326535122752,5.4366255281831055,5.379171994920313,5.3276001690617845,5.292220080195663,5.298162844888613
R24.0,15.558269617777247,13.717129380905952,12.687081630077948,11.73350161665632,10.945939041728899,10.372171673635503,9.624632900507224,9.071266672772296,8.694119341738954,8.35065212518461,8.202153100596098,8.129853956504398,7.740626064951721,7.104131074668437,6.609274527821837,6.341414116766918,6.230071284504676,6.118157971455823,6.003954936663604,5.9234848042175035,5.804810905720238,5.662693185604739,5.530414398093948,5.471086796745155,5.417967824870361,5.381318720150146,5.386347414622269
R25.0,15.929446816177748,14.051182038279482,12.997088043139414,12.015860962944766,11.199659010358282,10.602270556645083,9.823556928633595,9.257164840173163,8.870366317572145,8.516239469282182,8.36164475841914,8.287152343162557,7.891541452437345,7.241894319473493,6.735079004319212,6.459272747544732,6.342053682318424,6.225324147681482,6.106969806621249,6.023838981439781,5.902830731576099,5.757384179079751,5.621503837963817,5.560106018002783,5.505587986965283,5.467638959377783,5.471538706469806
R26.0,16.29465725108313,14.380681163877814,13.303533403884533,12.294513109650161,11.450830191568532,10.82978795704387,10.020793847662148,9.44035214977384,9.043336910091746,8.678127828596217,8.517549986248946,8.44066744393984,8.039183290184422,7.376803298879967,6.857051811783046,6.574004206980014,6.451021717707523,6.328979040658392,6.207139031769241,6.121471711860998,5.99829382134023,5.849003156363116,5.709941877561225,5.646463107196022,5.590357138329937,5.551249088736264,5.553902280186428
R27.0,16.653728517424504,14.705531031109711,13.605939327222451,12.570355567789736,11.698934153790393,11.054850956712368,10.216087676539882,9.620993332723518,9.213526865852938,8.83692075930714,8.67023713592129,8.590493904509026,8.183354249654402,7.508788152827778,6.976976906079173,6.686368390580844,6.556756328071482,6.429771973569921,6.304161770814774,6.216054522880967,6.091232314265695,5.93783222716696,5.7957932293567165,5.730215968527987,5.672451119337688,5.632728361140472,5.633480630687766
R28.0,17.00682140755324,15.02649144951575,13.904144511194836,12.84337221163888,11.944723761941479,11.277722447504667,10.410646652898356,9.800045468614423,9.381292939696193,8.993165690988068,8.820151175952807,8.736998799364915,8.324746311149916,7.637987246747372,7.0939299678267425,6.794679784185256,6.659450120426083,6.527223522555204,6.398773441212377,6.3082638481160895,6.181044131325809,6.024279832978933,5.8791329389101765,5.811432799275086,5.752003707356449,5.710186222854147,5.710410747023129
R29.0,17.355393400966108,15.343821763337377,14.198890059116072,13.113575687689794,12.18845504285921,11.498369161522387,10.601339573014556,9.978102465542474,9.546999212230766,9.146721678432748,8.966539447179716,8.880190635241387,8.461958480277907,7.764169965615441,7.208193685304656,6.901815602466218,6.759197654381106,6.621869515894041,6.489615477028542,6.3971907065725535,6.268346300188681,6.108389553935066,5.959569523634915,5.89015333592214,5.829062087572321,5.785698582736432,5.7846766828902805
R30.0,17.69835494864039,15.657180215944503,14.490450650403478,13.381422682496837,12.429736054412263,11.717107924408502,10.790885888410987,10.155011900973252,9.710936614699813,9.297937436864125,9.110283030440105,9.020068001138268,8.596354131844446,7.887646763253532,7.320128693821232,7.005019081689936,6.8558240301969455,6.71319802355864,6.578023144781456,6.484234963015188,6.353330547686031,6.190113985695268,6.037610329404247,5.966335160090489,5.903662243033795,5.858514152348453,5.856431792573375
