,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R14.0,0.6693972452905727,0.7500763519179625,0.8750680282022726,1.0708897419957548,1.2176620604016966,1.2520227018087975,1.2225266205733716,1.173785525572694,1.125134514379452,1.0726459560120072,1.0039967185417011,0.9615333258462291,0.9725176342648795,0.987044123225658,0.9985536083482842,0.9967202339953035,0.9617708668835719,0.9474706846186066,0.9029757462039234,0.8828968287754673
R15.0,0.6458464793530669,0.7191238501434478,0.8447379003935904,1.038005337328678,1.1902902506130284,1.225963990150535,1.1947720613965809,1.1440333078036466,1.0933423299253215,1.039809521877064,0.9714829244691958,0.9298490050786764,0.9430792691983731,0.958585647613317,0.971889681423825,0.9716989013927351,0.9376189746431145,0.9227635388533185,0.8802655670992005,0.8611231222264981
R16.0,0.6237597656544178,0.6898655768950486,0.8149789975475998,1.0051614548770382,1.1628476980225575,1.2001465823851392,1.167702349042777,1.1152569415667075,1.0626796848797917,1.0087201483934733,0.9406966936596866,0.9000272396619945,0.9152576818747122,0.9314438285112476,0.9461965171900754,0.947301073431564,0.9141723230079669,0.8987411015373664,0.8582802322854799,0.8399837952015592
R17.0,0.6037928812140275,0.6625475290621787,0.7860624785162605,0.9728014221488289,1.1353686585326608,1.1745922799333872,1.1412890255644184,1.0874935458627835,1.0331957928744606,0.9788955255891505,0.9117402190287301,0.8719928571975488,0.8889641346331444,0.9055672675340247,0.9214515470251656,0.923635585849783,0.8916527232290564,0.8755393556815606,0.8370643086637233,0.8194715042624023
R18.0,0.5856394053373918,0.6374417067809629,0.7583473547930082,0.9411932621893311,1.1079527762492571,1.1493567319735984,1.1155796654116004,1.0606669789404453,1.0048412357287109,0.9503205611049432,0.8844996699954235,0.8456713028991327,0.8641166220955265,0.880905481677651,0.8975795428644034,0.9009364295671369,0.8696475883045589,0.8531864132947683,0.8165655087789744,0.799617302227171
R19.0,0.5697098750062118,0.614586643763994,0.7316895738155517,0.9102946394444431,1.0805970141986168,1.124479531304223,1.0905031632297055,1.034767274955103,0.9775682344192309,0.9233540753319038,0.8587763822517647,0.820994943431569,0.840642187256029,0.8574216825835598,0.8746194885096077,0.8785963508075857,0.8487032009644647,0.8315715572325085,0.7967744038959961,0.7804341823281807
R20.0,0.5558376408820521,0.5942686358291778,0.7061212849920895,0.8802516566655781,1.0533788918825477,1.0998494371077858,1.066355142237835,1.0097726210056601,0.9513993789566415,0.8971516446585622,0.8345121322711456,0.797859963721098,0.8184651185079145,0.8350659584836351,0.8525501582018726,0.8575642981741861,0.8280913203759942,0.810662127114524,0.7776746953728867,0.7619822292397181
R21.0,0.5441278276461016,0.5762388685585693,0.6821017328397391,0.8512154624339616,1.0265895874407773,1.0754803917017242,1.042856470936276,0.9856546195010624,0.9262283619940229,0.8725318703082926,0.8116343444859263,0.7761952777106351,0.7975119667199762,0.8138002270495032,0.8313550226325404,0.8366952940384398,0.8085061285221532,0.7902769456891189,0.7592617684716646,0.744228634009723
R22.0,0.5342554080219704,0.5608197563894431,0.6593341336895646,0.8234158329030073,1.0000387141626992,1.0514721071582178,1.0199395692340074,0.9624264715730054,0.9021173824400683,0.8489240323199964,0.7900735232308734,0.755920905831587,0.7777198499337475,0.7935750265197397,0.8110129572932208,0.8171147682207461,0.7894464562590361,0.7709030630136893,0.7414973913549672,0.7272194359124078
R23.0,0.526208816089419,0.5476871924322477,0.6379847278080565,0.7968260706817323,0.9738525541624403,1.0278615583352708,0.997642528797201,0.9400215684419299,0.8790153775168313,0.8264560144117007,0.769793701649744,0.7369593389761392,0.7590206709047539,0.7744228311939582,0.7915059492439452,0.7977112155757626,0.7711955403533705,0.7518884676037625,0.7243479175435691,0.7109059448975104
