,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R28.0,0.4915116970768992,0.5113659619742396,0.5111991759701662,0.5003394718713305,0.5159782802477295,0.5439239046155558,0.6123946939512014,0.7664804219276589,0.9720253510217296,1.089676251657374,1.1467837676844184,1.1817627027683129,1.1052815822793984,1.0198753310584494,0.9030766073366991,0.8215933383788759,0.7917143922084736,0.7880784265485691,0.7888253269553647,0.786712568248641,0.7615042369667949,0.7331077824277528,0.7095086881151088,0.6677685020722816,0.6367113567854606,0.630774060358258,0.6269906509695299
R29.0,0.49024058240445406,0.5115060973853301,0.5089377729837036,0.4986612967975315,0.5115338572388781,0.5365152974072527,0.5954393423217923,0.7419127688858683,0.9430006146027313,1.0614986900632732,1.1188663820160658,1.1567221175269897,1.081127407533137,0.9991116830668647,0.8841322974233692,0.8050014772018854,0.7771551463192414,0.7729341332189736,0.7746058349081826,0.7709256578038252,0.7461295345152092,0.7200345708028438,0.697367311467558,0.6561286618245353,0.6242515327440352,0.6191117330861522,0.6144410481588628
R30.0,0.4898933719114941,0.512308766475257,0.507487866561053,0.496322754600719,0.5089382017703468,0.5310642867185269,0.5806388533122339,0.7180425321102583,0.915293042676075,1.0335569890418794,1.0928516365964354,1.130310122068845,1.058432723037106,0.9792499784005049,0.8658310326587254,0.7895853828431516,0.7622655911482098,0.7590984710609165,0.7598330527241828,0.7559529087202175,0.7319384567859688,0.7074833813543724,0.6867361048655706,0.6454573545407128,0.6125939955129709,0.6078766093874126,0.6041824514877567
R31.0,0.48969422239364174,0.5124738911833179,0.506065119246973,0.4959646107450854,0.5073993247467378,0.527675708344074,0.5666997150567221,0.6959694493015892,0.8887088296967333,1.0075790066040913,1.067542807455102,1.1058055984688426,1.0365815756929853,0.9591820278388139,0.8480775564737435,0.7737361337806928,0.7481724750238535,0.7459541714687393,0.7446803844178992,0.741721421723375,0.7189049529443055,0.696325520750933,0.6764496435027083,0.6350488912366908,0.6025046338936719,0.5984213504703351,0.5938645915093288
R32.0,0.48949021944014415,0.5118040609714647,0.5056166056190291,0.4962307827074535,0.5057720217784647,0.5241590503673131,0.554791743428918,0.6752723043517124,0.8635912192150969,0.9818799179176878,1.0416355469429508,1.0821356589473732,1.0151863454569507,0.9403185120910975,0.8317779483100689,0.759664757579349,0.7351693909242432,0.732958842705709,0.7317661285647191,0.7280176468741432,0.7060738353355506,0.6854882532208406,0.6673761699107701,0.6246136597552697,0.5921364270715617,0.588337790755398,0.5833478930546744
R33.0,0.4900061202340967,0.5118121929040194,0.5049076751734995,0.4954533466127356,0.5052261040944956,0.5216860735352957,0.5442949177536587,0.6565433280987716,0.8389525881517562,0.9565138554714242,1.01655571195201,1.0582516291202637,0.9938714581901895,0.9227337453930171,0.8157526333349909,0.7465245155220566,0.7233353002653146,0.721017332736237,0.719319566984062,0.7144498961199874,0.6936327447353131,0.6759630419295393,0.6588456610556669,0.6163430868800255,0.5831299043544351,0.5787293593201333,0.5744267655957445
R34.0,0.49052455120693084,0.5119396162485631,0.5034208459932311,0.4960312850617748,0.5050499631932049,0.5191716323391565,0.5349851083405774,0.6389241833747136,0.8158398696228547,0.9322394089295702,0.9926687311223156,1.0361288618731914,0.9743185021329868,0.9047135319982197,0.8006640116377061,0.7331709157814296,0.7117799688785866,0.7102814076856673,0.7073651365946629,0.7014927797981512,0.6822462584659131,0.6653229867682242,0.6512140646585047,0.6089002121777249,0.5745529890820903,0.5704865074629926,0.5662053641689198
R35.0,0.4901111114949493,0.5114931069253366,0.502867654505304,0.49630119471502354,0.5054900410499158,0.5187601108160488,0.527436084340293,0.6219040971528128,0.7933723721249916,0.9089643999089686,0.970104117728788,1.014008987287439,0.9547149593412174,0.8876365752757637,0.7863557061544196,0.720201001860511,0.7004894304590907,0.70016805501145,0.6956611897913582,0.6897892382735237,0.6717063418821552,0.656289823497603,0.6443576898056714,0.6011165866976415,0.5669351020677272,0.5626392953449141,0.5588476024253295
R36.0,0.49055165224334457,0.5105824813063566,0.5022323262363991,0.4955013002743551,0.5057148387393885,0.5190256658339415,0.5211037274294099,0.6076188726871415,0.7715165944770258,0.8866805477401174,0.9476012727770451,0.9924009503583775,0.934463470276958,0.8716794178435228,0.7724085631891414,0.7088944935628074,0.6904239070417506,0.6893975182665456,0.6842517447866833,0.6792422057194761,0.6615432779618888,0.6488867747773024,0.6372915441741742,0.5944418975652753,0.5598439573488391,0.5559587123540064,0.5512883684234361
R37.0,0.4912820245606259,0.5093183346134897,0.5006474967405046,0.49593520117226597,0.5061812465177934,0.5180224767009238,0.5161462459532244,0.5933779111499327,0.7507253949568815,0.8657307519709125,0.9254925451307557,0.9714829528897786,0.91621981270566,0.8562641120312959,0.7593969281808948,0.6982195966360292,0.680097098882904,0.6801864478823604,0.6752040356996317,0.6684952319024544,0.6528465283543657,0.6408492748256549,0.631198567410604,0.5887705088304866,0.552661706938653,0.5493850116834667,0.5449585049529055
