,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R14.0,0.5914531820235546,0.5788544915070535,0.6080030668817527,0.6060312306021791,0.6125615420314443,0.6356545623857867,0.7068851925731834,0.7973354155820883,0.9067022966224125,1.0129529165636728,1.0887771390173777,1.1371158820116196,1.1551435539802493,1.153846948498975,1.1387618099253898,1.107169466166959,1.0638127891153284,1.0110039240054813,0.9615279288635847,0.9161287061349321,0.8853717147753648,0.8583232096186412,0.8401234185509038,0.8083490229436804,0.8035531118677842,0.7961898529372896,0.801580483592917
R15.0,0.5700664600424026,0.5560048968874945,0.5801455553693022,0.5776715590946415,0.5813426835722442,0.6001895934113407,0.6634464349520294,0.7484027173928457,0.8537145682687746,0.9602132488364861,1.0368712514015064,1.088488147052493,1.1090109863361302,1.1109557439233357,1.0982322842804102,1.0684779361420562,1.0261124516033142,0.9757763994107325,0.9279703945007278,0.8836019366966327,0.8540746823956883,0.8283656508325927,0.8099975135292314,0.7804592179385922,0.7773427982335952,0.7705209755537215,0.7750036364556244
R16.0,0.5509490124963967,0.5368692107166989,0.5572397791289452,0.5544406342814548,0.5563816585536238,0.5712843651641443,0.6258914071396628,0.7036302960747344,0.8048799671872401,0.9104205155419561,0.9868277808301614,1.0416540968518821,1.0653670255798573,1.0682327535288842,1.059272752982759,1.0317943335828879,0.9910112994393275,0.9412700053012653,0.8952157260075532,0.8527985289091874,0.8239889229625548,0.7996788919766339,0.782455204198342,0.753286955520343,0.751615289652695,0.7457835729197079,0.7492561707801029
R17.0,0.5347317268722133,0.5214574886594678,0.5383089716040108,0.5364049228818193,0.5366064620796382,0.5484261231052027,0.594042355154614,0.6639843453209279,0.7595433786302357,0.863943029676394,0.9401654062739709,0.9965827299252645,1.0226595394537128,1.028449911538417,1.0205746495634729,0.9956867284639623,0.9569811165385559,0.907788458259369,0.8634463227283934,0.8232468470352063,0.7954032790804545,0.7716816353955235,0.7557249387243394,0.7288616600213048,0.7274497241608139,0.7220731546587683,0.7241031792582411
R18.0,0.5222964206453685,0.509771103518495,0.522659148359588,0.5226028801053796,0.5219794911041418,0.5309612060188729,0.5676343900165881,0.6286292346838911,0.7180934235477939,0.8192327431403679,0.8958168668679922,0.9528781992169001,0.9810541268977215,0.9893254560156315,0.9839617683498537,0.9602720006317443,0.9226807914272798,0.8760815435008809,0.8336562717021931,0.793825416625572,0.7676198507681389,0.7457714811965611,0.7304906434790203,0.704836792384088,0.7048467198641145,0.6998180581481876,0.7007150375463234
R19.0,0.5143972618879367,0.5016704022747955,0.5130296534715602,0.5136245398204018,0.5127267675862376,0.5183917933567334,0.546110132385845,0.5985948292174802,0.6807805683899475,0.7782493192414754,0.8533495799543511,0.9116015485560037,0.9404094231826884,0.9508187998554477,0.947521537549013,0.9258511969873537,0.890379646979968,0.8456581415872945,0.8047932004862232,0.7669723096079422,0.7415701784628432,0.7209391392566101,0.707167262905381,0.6816384917881583,0.6838827495079851,0.6781018741682513,0.6788172170078872
R20.0,0.5072417114186949,0.49641177079041593,0.5058478553066084,0.5082385979191333,0.5069681988143303,0.509910892268797,0.5300547668634491,0.5728670687516186,0.64734899657081,0.7406377696243017,0.8146677902733181,0.8715412814579315,0.9023411855218421,0.9141216434071741,0.9120213107438075,0.8928547916098245,0.8588184942921985,0.8164644709520131,0.7770897587978592,0.7410350346373984,0.7169066594912205,0.6971755615011652,0.6841655852391124,0.6613347201725248,0.6639702096159604,0.658906268407608,0.6573930229043293
R21.0,0.5031712221297729,0.4942271986767163,0.5019559553928442,0.5046077148555208,0.5031039371189532,0.5050112404704362,0.5179241574641508,0.5516698288482621,0.6181102389574582,0.7053113856644836,0.7772078970759456,0.8328348784119272,0.8649542556804878,0.8784873883257824,0.8779647281540423,0.8602320503871356,0.8282868614790951,0.7877639697392593,0.7509652273360988,0.7161194369176859,0.6929567722842397,0.6750158021897754,0.6629592250639184,0.6416740292050297,0.645202120229795,0.6409953524041632,0.6391495712083176
R22.0,0.5017854869539836,0.49203083601227393,0.49954173131593527,0.5022115671353792,0.5010425767212068,0.5023982478371136,0.5097349347774248,0.5345415317834915,0.59195446417195,0.6736865653044037,0.7425330603666073,0.7966622141791698,0.8299608022505011,0.8449332726999429,0.8456464647816005,0.8297711756228461,0.8000635188340137,0.7607942798060096,0.7260718950249453,0.6930231126786639,0.671544623638594,0.6546706655278688,0.6432210349180029,0.6234350677106819,0.6283506660652386,0.6243387225863438,0.6212214104312221
R23.0,0.5002883708792488,0.4919477620568379,0.49647937343571225,0.5008930830189745,0.49976665368533657,0.5002820082561709,0.5051347288336726,0.5217321510638009,0.5703354278072755,0.6443765671000242,0.7103366819508725,0.7639922455806958,0.7964708532727746,0.8126469261392362,0.8151782574710418,0.8002835989445484,0.7726831925035598,0.7353942446489881,0.7032551134815828,0.6714349641126619,0.6506339935789424,0.6354601394137788,0.6256330503597152,0.6074739882137266,0.6127414255508464,0.6088135201763731,0.6042893328487073
R24.0,0.4994113854770751,0.49198511245231197,0.4955765722526138,0.4988804558428692,0.49879860486459643,0.49878023447233466,0.5028722257966984,0.5122736146905912,0.5519619512903218,0.6184941594019915,0.6809831319188732,0.7324074557245924,0.7652134760324875,0.7817489091570766,0.7846189807030285,0.7724998015230413,0.7459299873424459,0.7115055265458626,0.6812090083045061,0.6506772264169437,0.6317480057327863,0.6166747202709139,0.6085699718911824,0.5920463663630736,0.5988045159897097,0.5948323331691245,0.590262503061546
R25.0,0.5001958576822865,0.4924173181216498,0.49465227366250697,0.4986405571722715,0.49706179318500177,0.4968399903205592,0.5013188586740749,0.5052971673511886,0.5369694212211408,0.5961311996364526,0.6539080270041131,0.7032067844513844,0.7351555972184998,0.7529721653737569,0.7568433539387008,0.7453208967118886,0.7215158334577859,0.6892903602483649,0.6606299842498242,0.6316758608581827,0.6147957970796706,0.5998921821323222,0.5924385770203845,0.5776752796339553,0.5865046721153544,0.5819226698078174,0.5766374328682012
R26.0,0.5021455305015115,0.49326093559826,0.4959088949701282,0.4989561220210144,0.49602130763803914,0.49668142102180635,0.4996654081276701,0.5016008590198836,0.5248431253759287,0.5758168335035239,0.6294165348299795,0.676529513394194,0.7073251517611782,0.7251157888273223,0.7307369054547576,0.7193033012476644,0.697518207483076,0.6682296798809025,0.6417389345965758,0.6142259604751917,0.5980920908116674,0.5855937740292618,0.5788952565029503,0.566326994956015,0.5742253881991711,0.5707306757751868,0.5633392724111228
