,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R29.0,0.4974761354491714,0.4937868505336579,0.5004282013698451,0.5015679687454547,0.5128516764208942,0.5267239991787492,0.5402700857125409,0.5609348373803466,0.5846307240048024,0.5984478354006605,0.6078312989252229,0.607864931264582,0.5952020377429793,0.5804327529083356,0.562124799444387,0.5510381573494334,0.5393506209146014,0.5316433527040964,0.5427639692755825,0.5193955766682229
R30.0,0.4977348344528476,0.4933054817437953,0.5009165820580183,0.5016321442326407,0.5081243736754499,0.5191718712186152,0.5309471674647033,0.5490168682995814,0.5700756227653208,0.582673541705367,0.5900123427878985,0.5909269067228783,0.5798132948284466,0.5662708310837844,0.5508529627982155,0.5409325099360965,0.5309588609920638,0.5247446578895393,0.5367524612682109,0.5139686746109634
R31.0,0.4981716229340719,0.4928253994895393,0.5010505714712529,0.5016053609701014,0.5048557163657654,0.5130838922566544,0.522922170200823,0.5386311206057894,0.5570860509989678,0.5690619274180441,0.5749170645002993,0.5751871847110038,0.5654058038900404,0.5540129951809696,0.5402975193107056,0.5321697912736257,0.5236714969809049,0.5188002722940264,0.5316926049577703,0.5095014706579997
R32.0,0.4984425202704367,0.4920133864615719,0.5012072425919128,0.5014417674293196,0.5025993739951238,0.5084347758226715,0.516355090488464,0.5297608696330688,0.5455923275401799,0.556506667860362,0.5602989582602202,0.5612039189868668,0.5527415579140338,0.5431586333268292,0.5314883279293138,0.5248203364324633,0.5178103298011585,0.5138057776592291,0.5277459092218193,0.5054368993270802
R33.0,0.4970803777770434,0.48746762711518354,0.5002649904243744,0.5009783388078914,0.501204797039755,0.5050032146826189,0.5112027072422705,0.5222272709794017,0.5355490977066953,0.5455601331792339,0.5482241008528124,0.5490831517319507,0.5414090514000527,0.5337098801974902,0.524234099454336,0.5186653274043752,0.5128497416848661,0.5098676645765086,0.5245302883384254,0.5029274897355996
R34.0,0.490663833354141,0.4771567639095745,0.4953243775053648,0.5005871318135098,0.5006470751649019,0.5026550238310525,0.5072168838044766,0.5159694602576996,0.5270041838875866,0.5359806221798774,0.5376728118375261,0.5384424488164095,0.5319953922133804,0.5260678898075989,0.5174745342312962,0.5136507722408163,0.5087611836015282,0.5066734707888267,0.5220027281560408,0.5006032927933557
R35.0,0.4789301525468379,0.46185284509895985,0.4842453589270904,0.5002219428393796,0.5001422058913279,0.501141825947821,0.5043428716075243,0.5109130809066998,0.5195146530212337,0.5279255636339205,0.5285728061737264,0.5292796883976253,0.5245440686260621,0.519131405338366,0.5124268430874923,0.5094117441026372,0.505989942811355,0.5042580507957428,0.5203972380519225,0.49924405139815087
R36.0,0.4619950681091931,0.44107125652551504,0.46789346622779854,0.5000494804901191,0.49982847139452347,0.5003740796325264,0.5023108768337342,0.5070934327457394,0.5138832067694604,0.5207650720976253,0.5212355521325793,0.5216822222717614,0.5175006945635712,0.5139150316147311,0.5082941751208716,0.5060454614844592,0.5036026203591133,0.5024574492478726,0.5192384638403191,0.49831020519694935
R37.0,0.43917206218094396,0.41487001147777935,0.44544104474012153,0.4999763854794067,0.4996601831807262,0.5000124473044583,0.5012273048862801,0.5042172616153142,0.5088236160518317,0.5146906042558853,0.5148190594374897,0.5160414311283892,0.5125633133782097,0.5094835745250414,0.5052314171406489,0.5039061105169237,0.5018741581883092,0.5010636735299763,0.5185263385360576,0.49767269105085615
R38.0,0.4104373285804774,0.38347183408821495,0.4181111983131187,0.49814581310955963,0.4995342370470152,0.4997547126759846,0.5005466160509171,0.5022349736186466,0.5055914950915815,0.5107749704831211,0.5106216913254074,0.5107744489843123,0.5083944455665539,0.5061426882964739,0.5029794934360464,0.5021197451800489,0.5011902544049864,0.5002940752878777,0.518274911467926,0.4975010267875311
R39.0,0.37642244903100835,0.3460975240743816,0.3847034487879185,0.49155641659230503,0.4993507717517981,0.49964629367908225,0.5002710830698358,0.5007731912843124,0.5025622036507947,0.5066479752980773,0.5064515726098908,0.5071844878306337,0.5053608522159385,0.5039006459130388,0.5012917156026735,0.5009344124005021,0.5004601967763941,0.49979729900620473,0.5180965122474652,0.49741019845656453
